capex_multiplier,opex_multiplier,tariff_per_kwh,capex,opex_year1,lcoe_per_kwh,npv,irr
1.0,1.0,0.12,1337280.0000000002,27200.0,0.08808481360442769,615206.0699209194,0.13303955219767719
1.0,1.0,0.14,1337280.0000000002,27200.0,0.08808481360442769,1000731.6703643927,0.1637472075451835
1.0,1.2,0.06,1337280.0000000002,32640.0,0.09182690006846578,-613504.2379574841,0.013236794240291118
1.0,1.2,0.08,1337280.0000000002,32640.0,0.09182690006846578,-227978.63751401077,0.05774303467148906
1.0,1.2,0.1,1337280.0000000002,32640.0,0.09182690006846578,157546.96292946232,0.09439339107455282
1.0,1.2,0.12,1337280.0000000002,32640.0,0.09182690006846578,543072.5633729354,0.1274289702851633
1.0,1.2,0.14,1337280.0000000002,32640.0,0.09182690006846578,928598.1638164085,0.15851706115591654
1.1,0.8,0.06,1471008.0000000005,21760.0,0.09128016526881333,-602965.2248615166,0.023399136498515154
1.1,0.8,0.08,1471008.0000000005,21760.0,0.09128016526881333,-217439.6244180433,0.061233459926031096
1.1,0.8,0.1,1471008.0000000005,21760.0,0.09128016526881333,168085.9760254298,0.09372660664192524
1.1,0.8,0.12,1471008.0000000005,21760.0,0.09128016526881333,553611.5764689026,0.12347409087082807
1.1,0.8,0.14,1471008.0000000005,21760.0,0.09128016526881333,939137.1769123767,0.1516447061205938
1.1,1.0,0.06,1471008.0000000005,27200.0,0.09502225173285142,-675098.7314095002,0.014505680394600184
1.1,1.0,0.08,1471008.0000000005,27200.0,0.09502225173285142,-289573.13096602703,0.054462282068254465
1.1,1.0,0.1,1471008.0000000005,27200.0,0.09502225173285142,95952.46947744605,0.0879608053354391
1.1,1.0,0.12,1471008.0000000005,27200.0,0.09502225173285142,481478.06992091914,0.11827775740564056
1.1,1.0,0.14,1471008.0000000005,27200.0,0.09502225173285142,867003.6703643925,0.14680368550567152
1.1,1.2,0.06,1471008.0000000005,32640.0,0.09876433819688951,-747232.2379574843,0.004717006620689708
1.1,1.2,0.08,1471008.0000000005,32640.0,0.09876433819688951,-361706.637514011,0.04733672056839223
1.1,1.2,0.1,1471008.0000000005,32640.0,0.09876433819688951,23818.962929462083,0.0820100050109153
1.1,1.2,0.12,1471008.0000000005,32640.0,0.09876433819688951,409344.56337293517,0.1129705454810345
1.1,1.2,0.14,1471008.0000000005,32640.0,0.09876433819688951,794870.1638164083,0.14189043707362664
1.2,0.8,0.06,1604736.0000000002,21760.0,0.09821760339723705,-736693.2248615164,0.015513084727654723
1.2,0.8,0.08,1604736.0000000002,21760.0,0.09821760339723705,-351167.62441804307,0.051764163911661776
1.2,0.8,0.1,1604736.0000000002,21760.0,0.09821760339723705,34357.97602543002,0.08261067953381825
1.2,0.8,0.12,1604736.0000000002,21760.0,0.09821760339723705,419883.5764689029,0.11063833013124559
1.2,0.8,0.14,1604736.0000000002,21760.0,0.09821760339723705,805409.1769123769,0.1370174818512553
1.2,1.0,0.06,1604736.0000000002,27200.0,0.10195968986127514,-808826.7314095,0.006837549718759924
1.2,1.0,0.08,1604736.0000000002,27200.0,0.10195968986127514,-423301.1309660268,0.04522061904711669
1.2,1.0,0.1,1604736.0000000002,27200.0,0.10195968986127514,-37775.530522553716,0.07708363098249928
1.2,1.0,0.12,1604736.0000000002,27200.0,0.10195968986127514,347750.06992091937,0.10569198778283849
1.2,1.0,0.14,1604736.0000000002,27200.0,0.10195968986127514,733275.6703643927,0.13243694199499387
1.2,1.2,0.06,1604736.0000000002,32640.0,0.10570177632531322,-880960.2379574841,-0.002739381186179343
1.2,1.2,0.08,1604736.0000000002,32640.0,0.10570177632531322,-495434.63751401077,0.03831919880543491
1.2,1.2,0.1,1604736.0000000002,32640.0,0.10570177632531322,-109909.03707053768,0.07136881243369503
1.2,1.2,0.12,1604736.0000000002,32640.0,0.10570177632531322,275616.5633729354,0.10063241650828261
1.2,1.2,0.14,1604736.0000000002,32640.0,0.10570177632531322,661142.1638164085,0.12778217296700806
